datetime,cpm,cps
 2019-07-31 18:29:30,12,0
 2019-07-31 18:29:31,12,0
 2019-07-31 18:29:32,12,0
 2019-07-31 18:29:33,13,1
 2019-07-31 18:29:34,12,0
 2019-07-31 18:29:34,13,1
 2019-07-31 18:29:35,13,0
 2019-07-31 18:29:37,14,1
 2019-07-31 18:29:38,14,0
 2019-07-31 18:29:39,14,0
 2019-07-31 18:29:40,14,0
 2019-07-31 18:29:41,14,0
 2019-07-31 18:29:42,14,0
 2019-07-31 18:29:42,14,0
 2019-07-31 18:29:44,14,0
 2019-07-31 18:29:45,15,1
 2019-07-31 18:29:46,15,0
 2019-07-31 18:29:47,15,0
 2019-07-31 18:29:48,15,0
 2019-07-31 18:29:49,15,0
 2019-07-31 18:29:49,15,0
 2019-07-31 18:29:50,15,0
 2019-07-31 18:29:52,15,0
 2019-07-31 18:29:53,15,0
 2019-07-31 18:29:54,15,0
 2019-07-31 18:29:55,14,0
 2019-07-31 18:29:56,14,0
 2019-07-31 18:29:56,15,1
 2019-07-31 18:29:57,15,0
 2019-07-31 18:29:59,15,0
 2019-07-31 18:30:00,15,0
 2019-07-31 18:30:01,15,0
 2019-07-31 18:30:02,16,1
 2019-07-31 18:30:03,16,0
 2019-07-31 18:30:04,15,0
 2019-07-31 18:30:04,15,0
 2019-07-31 18:30:05,14,0
 2019-07-31 18:30:07,12,0
 2019-07-31 18:30:08,12,0
 2019-07-31 18:30:09,12,0
 2019-07-31 18:30:10,12,0
 2019-07-31 18:30:11,12,0
 2019-07-31 18:30:11,11,0
 2019-07-31 18:30:12,11,1
 2019-07-31 18:30:14,11,0
 2019-07-31 18:30:15,11,0
 2019-07-31 18:30:16,12,1
 2019-07-31 18:30:17,12,0
 2019-07-31 18:30:18,12,1
 2019-07-31 18:30:19,12,0
 2019-07-31 18:30:19,13,1
 2019-07-31 18:30:20,13,0
 2019-07-31 18:30:22,13,1
 2019-07-31 18:30:23,13,0
 2019-07-31 18:30:24,13,0
 2019-07-31 18:30:25,13,0
 2019-07-31 18:30:26,12,0
 2019-07-31 18:30:26,12,1
 2019-07-31 18:30:27,12,0
 2019-07-31 18:30:29,13,1
 2019-07-31 18:30:30,14,1
 2019-07-31 18:30:31,14,0
 2019-07-31 18:30:32,14,0
 2019-07-31 18:30:33,13,0
 2019-07-31 18:30:33,13,0
 2019-07-31 18:30:34,12,0
 2019-07-31 18:30:36,13,1
 2019-07-31 18:30:36,12,0
 2019-07-31 18:30:37,12,0
 2019-07-31 18:30:38,12,0
 2019-07-31 18:30:39,12,0
 2019-07-31 18:30:40,12,0
 2019-07-31 18:30:41,12,0
 2019-07-31 18:30:41,13,1
 2019-07-31 18:30:42,13,0
 2019-07-31 18:30:44,12,0
 2019-07-31 18:30:45,13,1
 2019-07-31 18:30:46,13,0
 2019-07-31 18:30:47,13,0
 2019-07-31 18:30:48,13,0
 2019-07-31 18:30:48,13,0
 2019-07-31 18:30:49,13,0
 2019-07-31 18:30:51,13,0
 2019-07-31 18:30:52,13,0
 2019-07-31 18:30:53,14,1
 2019-07-31 18:30:54,14,0
 2019-07-31 18:30:55,14,0
 2019-07-31 18:30:56,13,0
 2019-07-31 18:30:56,13,0
 2019-07-31 18:30:57,14,1
 2019-07-31 18:30:59,14,0
 2019-07-31 18:31:00,15,1
 2019-07-31 18:31:01,14,0
 2019-07-31 18:31:02,14,0
 2019-07-31 18:31:03,14,0
 2019-07-31 18:31:03,14,0
 2019-07-31 18:31:04,14,0
 2019-07-31 18:31:06,15,1
 2019-07-31 18:31:07,15,0
 2019-07-31 18:31:08,15,0
 2019-07-31 18:31:09,16,1
 2019-07-31 18:31:10,16,0
 2019-07-31 18:31:11,16,0
 2019-07-31 18:31:11,15,0
 2019-07-31 18:31:13,16,1
 2019-07-31 18:31:14,16,0
 2019-07-31 18:31:15,15,0
 2019-07-31 18:31:16,16,1
 2019-07-31 18:31:17,15,0
 2019-07-31 18:31:18,15,0
 2019-07-31 18:31:18,15,1
 2019-07-31 18:31:19,15,0
 2019-07-31 18:31:21,14,0
 2019-07-31 18:31:22,14,0
 2019-07-31 18:31:23,14,0
 2019-07-31 18:31:24,14,0
 2019-07-31 18:31:25,14,0
 2019-07-31 18:31:25,13,0
 2019-07-31 18:31:26,13,0
 2019-07-31 18:31:28,13,1
 2019-07-31 18:31:29,12,0
 2019-07-31 18:31:30,12,0
 2019-07-31 18:31:31,12,0
 2019-07-31 18:31:32,12,0
 2019-07-31 18:31:33,12,0
 2019-07-31 18:31:33,12,0
 2019-07-31 18:31:34,12,1
 2019-07-31 18:31:36,12,0
 2019-07-31 18:31:37,12,0
 2019-07-31 18:31:38,12,0
 2019-07-31 18:31:39,12,0
 2019-07-31 18:31:40,12,0
 2019-07-31 18:31:40,12,0
 2019-07-31 18:31:41,11,0
 2019-07-31 18:31:43,11,0
 2019-07-31 18:31:44,11,0
 2019-07-31 18:31:45,10,0
 2019-07-31 18:31:46,10,0
 2019-07-31 18:31:47,11,1
 2019-07-31 18:31:48,11,0
 2019-07-31 18:31:48,12,1
 2019-07-31 18:31:49,12,0
 2019-07-31 18:31:51,12,0
 2019-07-31 18:31:52,12,0
 2019-07-31 18:31:53,11,0
 2019-07-31 18:31:54,11,0
 2019-07-31 18:31:55,11,0
 2019-07-31 18:31:56,11,0
 2019-07-31 18:31:58,12,1
 2019-07-31 18:31:59,11,0
 2019-07-31 18:32:00,12,1
 2019-07-31 18:32:01,12,1
 2019-07-31 18:32:02,13,1
 2019-07-31 18:32:02,13,0
 2019-07-31 18:32:03,13,0
 2019-07-31 18:32:05,15,2
 2019-07-31 18:32:06,15,0
 2019-07-31 18:32:07,14,0
